;Post code;Sub-municipality name (Dutch)
501;9636.0;Nederzwalm-Hermelgem
502;9041.0;Oostakker
503;4861.0;
504;4120.0;
505;4623.0;
506;4711.0;
507;4651.0;
508;4830.0;
509;4431.0;
510;4261.0;
511;4600.0;
512;7140.0;
513;6061.0;
514;7730.0;
515;7521.0;
516;7110.0;
517;6567.0;
518;7334.0;
519;6211.0;
520;1070.0;Anderlecht
521;1325.0;
522;1440.0;
523;1457.0;
524;1470.0;
525;1490.0;
526;2620.0;Hemiksem
527;2860.0;Sint-Katelijne-Waver
528;2550.0;Kontich
529;2390.0;Oostmalle
530;2470.0;Retie
531;2460.0;Lichtaart
532;2890.0;Oppuurs
533;2000.0;Antwerpen
534;2140.0;Borgerhout
535;5350.0;
536;5330.0;
537;5020.0;
538;3520.0;Zonhoven
539;3721.0;Vliermaalroot
540;6780.0;
541;6791.0;
542;6960.0;
543;8470.0;Gistel
544;8580.0;Avelgem
545;1761.0;Borchtlombeek
546;9052.0;Zwijnaarde
547;9910.0;Ursel
548;4162.0;
549;4683.0;
550;4254.0;
551;4650.0;
552;4820.0;
553;4654.0;
554;4430.0;
555;6440.0;
556;7911.0;
557;7024.0;
558;7012.0;
559;7810.0;
560;1044.0;Schaarbeek
561;1380.0;
562;2099.0;Antwerpen
563;2220.0;Heist-op-den-Berg
564;2250.0;Olen
565;2050.0;Antwerpen
566;2288.0;Bouwel
567;1700.0;Dilbeek
568;9860.0;Scheldewindeke
569;6630.0;
570;6781.0;
571;6813.0;
572;9790.0;Wortegem
573;9570.0;Deftinge
574;4458.0;
575;4031.0;
576;4650.0;
577;4560.0;
578;4770.0;
579;6110.0;
580;7034.0;
581;6532.0;
582;6530.0;
583;7604.0;
584;7500.0;
585;7333.0;
586;7803.0;
587;6594.0;
588;7910.0;
589;6120.0;
590;7506.0;
591;7783.0;
592;1200.0;Sint-Lambrechts-Woluwe
593;1049.0;Evere
594;1370.0;
595;2590.0;Berlaar
596;2431.0;Veerle
597;2801.0;Heffen
598;5560.0;
599;5363.0;
600;5600.0;
601;5641.0;
602;5501.0;
603;5651.0;
604;5030.0;
605;5150.0;
606;3660.0;Opglabbeek
607;8610.0;Handzame
608;8755.0;Ruiselede
609;6660.0;
610;6920.0;
611;1820.0;Steenokkerzeel
612;1502.0;Lembeek
